"County","District","Region","Sub-region"
"Labwor","Abim","Northern","Karamoja"
"East Moyo","Adjumani","Northern","West Nile"
"Agago","Agago","Northern","Acholi"
"Ajuri","Alebtong","Northern","Lango"
"Moroto","Alebtong","Northern","Lango"
"Kioga","Amolatar","Northern","Lango"
"Upe","Amudat","Northern","Karamoja"
"Amuria","Amuria","Eastern","Teso"
"Kapelebyong","Amuria","Eastern","Teso"
"Kilak","Amuru","Northern","Acholi"
"Kwania","Apac","Northern","Lango"
"Maruzi","Apac","Northern","Lango"
"Arua Municipal Council","Arua","Northern","West Nile"
"Ayivu","Arua","Northern","West Nile"
"Madi-Okollo","Arua","Northern","West Nile"
"Terego","Arua","Northern","West Nile"
"Vurra","Arua","Northern","West Nile"
"Budaka","Budaka","Eastern","Teso"
"Iki-Iki","Budaka","Eastern","Teso"
"Manjiya","Bududa","Eastern","Bugisu"
"Bukooli","Bugiri","Eastern","Busoga"
"Buhweju","Buhweju","Western","Ankole"
"Buikwe","Buikwe","Central","Busoga"
"Bukedea","Bukedea","Eastern","Teso"
"Bukomansimbi","Bukomansimbi","Central","Buganda"
"Kongasis ","Bukwo","Eastern","Bugisu"
"Bulambuli","Bulambuli","Eastern","Bugisu"
"Buliisa","Buliisa","Western","Bunyoro"
"Bughendera","Bundibugyo","Western","Rwenzori"
"Bwamba","Bundibugyo","Western","Rwenzori"
"Bushenyi-Ishaka Municipal Council","Bushenyi","Western","Ankole"
"Igara","Bushenyi","Western","Ankole"
"Busia Municipal Council ","Busia","Eastern","Busoga"
"Samia-Bugwe ","Busia","Eastern","Busoga"
"Bunyole ","Busia","Eastern","Busoga"
"Butambala","Butambala","Central","Buganda"
"Buvuma Islands","Buvuma","Central","Buganda"
"Budiope East  ","Buyende","Eastern","Busoga"
"Budiope West","Buyende","Eastern","Busoga"
"Dokolo","Dokolo","Northern","Lango"
"Gomba","Gomba","Central","Buganda"
"Aswa","Gulu","Northern","Acholi"
"Gulu Municipal Council","Gulu","Northern","Acholi"
"Omoro","Gulu","Northern","Acholi"
"Bugahya","Hoima","Western","Bunyoro"
"Buhaguzi","Hoima","Western","Bunyoro"
"Hoima Municipal Council","Hoima","Western","Bunyoro"
"Ibanda","Ibanda","Western","Ankole"
"Bugweri","Iganga","Eastern","Busoga"
"Iganga Municipal Council","Iganga","Eastern","Busoga"
"Kigulu  ","Iganga","Eastern","Busoga"
"Bukanga","Isingiro","Western","Ankole"
"Isingiro","Isingiro","Western","Ankole"
"Butembe","Jinja","Eastern","Busoga"
"Jinja Municipal Council","Jinja","Eastern","Busoga"
"Kagoma","Jinja","Eastern","Busoga"
"Dodoth East","Kaabong","Northern","Karamoja"
"Dodoth West","Kaabong","Northern","Karamoja"
"Kabale Municipal Council","Kabale","Western","Kigezi"
"Ngorwa","Kabale","Western","Kigezi"
"Rubanda","Kabale","Western","Kigezi"
"Rukiga","Kabale","Western","Kigezi"
"Bunyangabu","Kabarole","Western","Rwenzori"
"Burahya","Kabarole","Western","Rwenzori"
"Fort Portal Municipal Council","Kabarole","Western","Rwenzori"
"Nakasongola","Nakasongola","Central","Buganda"
"Kaberamaido","Kaberamaido","Eastern","Teso"
"Kalaki","Kaberamaido","Eastern","Teso"
"Bujumba","Kaberamaido","Eastern","Teso"
"Kyamuswa","Kalangala","Central","Buganda"
"Bulamogi","Kamuli","Eastern","Busoga"
"Kalungu","Kalungu","Central","Buganda"
"Kampala Capital City","Kampala","Central","Buganda"
"Bugabula","Kamuli","Eastern","Busoga"
"Buzaaya","Kamuli","Eastern","Busoga"
"Kibale","Kamwenge","Western","Rwenzori"
"Kitagwenda  ","Kamwenge","Western","Rwenzori  "
"Kinkiizi","Kanungu","Western","Kigezi"
"Tingey","Kanungu","Western","Kigezi"
"Bukonzo ","Kasese","Western","Rwenzori"
"Busongora","Kasese","Western","Rwenzori"
"Kasese Municipal Council","Kasese","Western","Rwenzori"
"Toroma  ","Katakwi","Eastern","Teso"
"Usuk  ","Katakwi","Eastern","Teso "
"Bbaale","Kayunga","Central","Buganda"
"Ntenjeru","Kayunga","Central","Buganda"
"Bugangaizi","Kibaale","Western","Bunyoro"
"Bugangaizi East","Kibaale","Western","Bunyoro"
"Buyaga","Kibaale","Western","Bunyoro"
"Buyaga West","Kibaale","Western","Bunyoro "
"Buyanja","Kibaale","Western","Bunyoro"
"Kiboga East","Kiboga","Central","Buganda"
"Kibuku","Kibuku","Eastern","Bugisu"
"Kazo","Kiruhura","Western","Ankole"
"Nyabushozi  ","Kiruhura","Western","Ankole"
"Kibanda","Kiryandongo","Western","Bunyoro"
"Bufumbira East","Kisoro","Western","Kigezi"
"Bufumbira North","Kisoro","Western","Kigezi"
"Bufumbira South","Kisoro","Western","Kigezi"
"Chua","Kitgum","Northern","Acholi"
"Koboko","Koboko","Northern","West Nile"
"Kole","Kole","Northern","Lango"
"Jie","Kotido","Northern","Karamoja"
"Kumi","Kumi","Eastern","Teso"
"Kween ","Kween","Eastern","Bugisu"
"Kiboga West","Kiboga","Central","Buganda"
"Kyaka","Kyegegwa","Western","Bunyoro"
"Mwenge","Kyenjojo","Western","Bunyoro"
"Lamwo","Lamwo","Northern","Acholi"
"Erute ","Lira","Northern","Lango"
"Lira Municipal Council","Lira","Northern","Lango"
"Luuka ","Luuka","Eastern","Busoga"
"Bamunanika","Luwero","Central","Buganda"
"Katikamu","Luwero","Central","Buganda"
"Bukoto  ","Luwero","Central","Buganda"
"Kabula","Lyantonde","Central","Buganda"
"Bubulo","Manafwa","Eastern","Bugisu"
"Maracha","Maracha","Northern","West Nile"
"Bukoto Central","Masaka","Central","Buganda"
"Bukoto East","Masaka","Central","Buganda"
"Masaka Municipal Council","Masaka","Central","Buganda"
"Bujenje","Masindi","Western","Bunyoro"
"Buruuli","Masindi","Western","Bunyoro"
"Bunya","Masindi","Western","Bun"
"Bungokho","Mbale","Eastern","Bugisu"
"Mbale Municipal Council","Mbale","Eastern","Bugisu"
"Kashari","Mbarara","Western","Ankole"
"Mbarara Municipal Council","Mbarara","Western","Ankole"
"Rwampara  ","Mbarara","Western","Ankole"
"Ruhinda","Mbarara","Western","Ankole"
"Busujju ","Mityana","Central","Buganda "
